"oid"	"uid"	"addr_id"	"order_index"	"freight_index"	"ostatus"	"create_time"	"finishe_time"	"payment_time"	"delivery_time"	"price_total"	"freight_expense"	"payment_mode"
"16"	"1"	"1"	"20230408220919-95"	"###No2023"	"2"	"12/5/2023 16:20:50"		"8/4/2023 23:09:41"		"7"	"0"	"1"
"17"	"1"	"1"	"20230408225945-17"	"###No2023"	"5"	"12/5/2023 16:21:00"		"14/4/2023 23:38:23"		"29.9"	"0"	"1"
"18"	"1"	"1"	"20230408230729-10"	"###No2023"	"5"	"12/5/2023 16:21:07"		"15/4/2023 18:26:52"		"33.4"	"0"	"1"
"19"	"1"	"1"	"20230408230829611"	"###No2023"	"2"	"12/5/2023 16:21:24"		"12/5/2023 18:21:12"		"59.8"	"0"	"1"
"20"	"1"	"1"	"20230409174259-17"	"###No2023"	"1"	"9/4/2023 09:42:59"				"29.9"	"0"	"1"
"21"	"1"	"1"	"20230409230751160"	"###No2023"	"1"	"9/4/2023 15:07:51"				"239.2"	"0"	"1"
"22"	"1"	"1"	"20230410000638-69"	"###No2023"	"1"	"17/4/2023 17:22:12"				"29.9"	"0"	"1"
"23"	"1"	"1"	"20230410000931326"	"###No2023"	"2"	"12/5/2023 16:21:34"		"10/4/2023 01:10:00"		"149.5"	"0"	"1"
"24"	"1"	"1"	"20230410222307133"	"###No2023"	"4"	"12/5/2023 16:21:41"		"10/4/2023 23:24:34"		"209.3"	"0"	"1"
"25"	"1"	"1"	"20230410222730155"	"###No2023"	"1"	"17/4/2023 17:14:27"				"59.8"	"0"	"1"
"26"	"1"	"9"	"20230413210221-53"	"###No2023"	"4"	"12/5/2023 16:21:50"		"16/4/2023 22:55:35"		"65.3"	"0"	"1"
"27"	"1"	"9"	"20230414171013193"	"###No2023"	"2"	"12/5/2023 16:21:55"		"15/4/2023 23:55:33"		"59.8"	"0"	"1"
"28"	"1"	"9"	"20230414231154-23"	"###No2023"	"5"	"12/5/2023 16:22:06"		"16/4/2023 22:55:32"	"15/4/2023 23:55:32"	"119.6"	"0"	"1"
"29"	"1"	"12"	"20230415161938-96"	"###No2023"	"5"	"12/5/2023 16:22:14"		"18/4/2023 16:50:49"		"66.8"	"0"	"1"
"30"	"1"	"9"	"20230417172941-13"	"###No2023"	"5"	"12/5/2023 16:22:20"		"18/4/2023 17:35:24"		"66.8"	"0"	"1"
"34"	"2"	"14"	"20230417181115-44"	"###No2023"	"5"	"12/5/2023 16:22:29"		"19/4/2023 18:13:16"		"29.9"	"0"	"1"
"35"	"2"	"14"	"20230422144745-19"	"TestSendOut333"	"4"	"12/5/2023 16:23:30"		"10/5/2023 22:36:19"		"33.4"	"0"	"1"
"36"	"2"	"14"	"20230422232038-16"	"###No2023"	"5"	"12/5/2023 16:22:44"		"10/5/2023 23:36:14"		"89.7"	"0"	"1"
"37"	"13"	"15"	"20230428223754-19"	"###No2023"	"5"	"12/5/2023 16:23:22"		"10/5/2023 22:16:14"		"10.5"	"0"	"1"
"38"	"13"	"16"	"20230429173333124"	"###No2023"	"5"	"12/5/2023 16:23:15"		"11/5/2023 22:36:14"		"11"	"0"	"1"
"39"	"13"	"15"	"20230501204028860"	"###No2023"	"2"	"12/5/2023 16:23:13"		"10/5/2023 23:36:14"		"27"	"0"	"1"
"40"	"13"	"16"	"20230501204952-13"	"###No2023"	"2"	"12/5/2023 16:23:10"		"10/5/2023 22:46:14"		"29.9"	"0"	"1"
"41"	"13"	"15"	"20230501225320281"	"###No2023"	"2"	"12/5/2023 16:23:07"		"10/5/2023 23:39:14"		"29.7"	"0"	"1"
"42"	"13"	"15"	"20230501225418-99"	"TestFFFFF99"	"5"	"12/5/2023 16:23:02"		"10/5/2023 23:36:14"		"3.5"	"9.9"	"1"
"45"	"13"	"15"	"20230506174434-31"	"#2023561758EE"	"4"	"12/5/2023 16:22:59"		"11/5/2023 22:36:14"		"79.7"	"0"	"1"
"46"	"13"	"16"	"20230506203953223"	"###No2023"	"1"	"6/5/2023 21:04:05"				"79.7"	"0"	"1"
"47"	"20"	"17"	"20230509161545303"	"TestSendGoodXXX"	"4"	"12/5/2023 16:00:36"		"12/5/2023 07:59:21"	"12/5/2023 08:00:26"	"19.8"	"0"	"1"
"48"	"20"	"17"	"20230512161129-11"	"TTTTTTTTTTTxxx"	"3"	"12/5/2023 16:15:37"		"12/5/2023 08:11:58"	"12/5/2023 16:15:37"	"29.9"	"0"	"1"
"49"	"21"	"18"	"20230513011513-20"	"XXXTenSIon"	"5"	"13/5/2023 01:22:44"		"13/5/2023 01:19:37"	"13/5/2023 01:22:11"	"59.8"	"0"	"1"
"50"	"21"	"18"	"20230513013515-18"	"dabianqianxi"	"5"	"13/5/2023 01:36:22"		"13/5/2023 01:35:40"	"13/5/2023 01:35:58"	"10"	"0"	"1"
"51"	"21"	"18"	"20230513013741170"	"againtestxxx"	"5"	"13/5/2023 01:38:49"		"13/5/2023 01:38:12"	"13/5/2023 01:38:33"	"9.9"	"0"	"1"
"52"	"20"	"17"	"20230513123351419"	"Test166666"	"5"	"13/5/2023 12:35:38"		"13/5/2023 12:34:42"	"13/5/2023 12:35:08"	"67.7"	"0"	"1"
