"oid"	"oitem_id"	"gid"	"gpurchase_number"	"gpurchase_price"	"orating_status"
"16"	"21"	"5"	"2"	"3.5"	"0"
"17"	"22"	"2"	"1"	"29.9"	"0"
"18"	"23"	"5"	"1"	"3.5"	"1"
"18"	"24"	"3"	"1"	"29.9"	"1"
"19"	"25"	"7"	"2"	"29.9"	"0"
"20"	"26"	"6"	"1"	"29.9"	"0"
"21"	"27"	"2"	"3"	"29.9"	"0"
"21"	"28"	"1"	"5"	"29.9"	"0"
"22"	"29"	"3"	"1"	"29.9"	"0"
"23"	"30"	"1"	"2"	"29.9"	"0"
"23"	"31"	"2"	"3"	"29.9"	"0"
"24"	"32"	"1"	"4"	"29.9"	"0"
"24"	"33"	"3"	"3"	"29.9"	"0"
"25"	"34"	"6"	"2"	"29.9"	"0"
"26"	"35"	"4"	"1"	"2"	"0"
"26"	"36"	"1"	"1"	"29.9"	"0"
"26"	"37"	"3"	"1"	"29.9"	"0"
"26"	"38"	"5"	"1"	"3.5"	"0"
"27"	"39"	"1"	"2"	"29.9"	"0"
"28"	"40"	"1"	"2"	"29.9"	"0"
"28"	"41"	"2"	"2"	"29.9"	"0"
"29"	"42"	"5"	"2"	"3.5"	"1"
"29"	"43"	"2"	"2"	"29.9"	"1"
"30"	"44"	"5"	"2"	"3.5"	"1"
"30"	"45"	"7"	"2"	"29.9"	"1"
"34"	"50"	"2"	"1"	"29.9"	"1"
"35"	"51"	"5"	"1"	"3.5"	"0"
"36"	"52"	"2"	"3"	"29.9"	"1"
"37"	"53"	"5"	"3"	"3.5"	"1"
"38"	"54"	"5"	"2"	"3.5"	"1"
"38"	"55"	"4"	"2"	"2"	"1"
"39"	"56"	"20"	"3"	"9"	"0"
"40"	"57"	"2"	"1"	"29.9"	"0"
"35"	"58"	"6"	"1"	"29.9"	"0"
"41"	"59"	"19"	"3"	"9.9"	"0"
"42"	"60"	"5"	"1"	"3.5"	"1"
"45"	"61"	"7"	"2"	"29.9"	"0"
"45"	"62"	"3"	"1"	"19.9"	"0"
"46"	"63"	"3"	"1"	"19.9"	"0"
"46"	"64"	"7"	"2"	"29.9"	"0"
"47"	"65"	"17"	"2"	"9.9"	
"48"	"66"	"2"	"1"	"29.9"	
"49"	"67"	"2"	"2"	"29.9"	"1"
"50"	"68"	"24"	"2"	"5"	"1"
"51"	"69"	"18"	"1"	"9.9"	"1"
"52"	"70"	"33"	"2"	"4"	"1"
"52"	"71"	"3"	"3"	"19.9"	"1"
